,gtfs_route_id,service_date,peak_offpeak_ind,otp_numerator,otp_denominator
101,1,2018-01-16,PEAK,380.0,507.0
102,43,2018-01-16,OFF_PEAK,256.0,358.0
103,43,2018-01-16,PEAK,104.0,140.0
104,43,2018-01-17,OFF_PEAK,243.0,357.0
105,43,2018-01-17,PEAK,77.0,140.0
106,1,2018-01-17,OFF_PEAK,988.0,1255.0
107,751,2018-01-17,PEAK,412.0,501.0
108,749,2018-01-17,PEAK,501.0,604.0
109,749,2018-01-17,OFF_PEAK,1281.0,1564.0
110,751,2018-01-17,OFF_PEAK,1158.0,1371.0
111,1,2018-01-17,PEAK,324.0,402.0
112,43,2018-01-18,PEAK,65.0,138.0
113,43,2018-01-18,OFF_PEAK,165.0,349.0
114,1,2018-01-18,PEAK,228.0,292.0
115,751,2018-01-18,OFF_PEAK,882.0,1085.0
116,749,2018-01-18,OFF_PEAK,1468.0,1878.0
117,749,2018-01-18,PEAK,382.0,554.0
118,751,2018-01-18,PEAK,246.0,311.0
119,1,2018-01-18,OFF_PEAK,736.0,962.0
120,751,2018-01-19,OFF_PEAK,1055.0,1340.0
121,751,2018-01-19,PEAK,368.0,501.0
122,749,2018-01-19,OFF_PEAK,1810.0,2221.0
123,749,2018-01-19,PEAK,622.0,796.0
124,1,2018-01-19,PEAK,282.0,383.0
125,1,2018-01-19,OFF_PEAK,933.0,1197.0
126,43,2018-01-19,PEAK,78.0,132.0
127,43,2018-01-19,OFF_PEAK,158.0,357.0
128,1,2018-01-20,OFF_PEAK,1172.0,1638.0
129,43,2018-01-20,OFF_PEAK,319.0,497.0
130,751,2018-01-20,OFF_PEAK,1133.0,1452.0
131,749,2018-01-20,OFF_PEAK,2376.0,3140.0
132,751,2018-01-21,OFF_PEAK,1302.0,1507.0
133,749,2018-01-21,OFF_PEAK,1818.0,2479.0
134,1,2018-01-21,OFF_PEAK,768.0,1122.0
135,43,2018-01-21,OFF_PEAK,283.0,409.0
136,43,2018-01-22,OFF_PEAK,260.0,358.0
137,43,2018-01-22,PEAK,93.0,140.0
138,1,2018-01-22,OFF_PEAK,988.0,1301.0
139,751,2018-01-22,PEAK,386.0,459.0
140,749,2018-01-22,PEAK,679.0,856.0
141,749,2018-01-22,OFF_PEAK,1874.0,2332.0
142,751,2018-01-22,OFF_PEAK,1088.0,1296.0
143,1,2018-01-22,PEAK,302.0,429.0
144,751,2018-01-23,PEAK,405.0,499.0
145,751,2018-01-23,OFF_PEAK,1104.0,1352.0
146,749,2018-01-23,PEAK,653.0,813.0
147,749,2018-01-23,OFF_PEAK,1605.0,2086.0
148,1,2018-01-23,OFF_PEAK,984.0,1297.0
149,1,2018-01-23,PEAK,381.0,510.0
150,43,2018-01-23,OFF_PEAK,230.0,351.0
