shape_id,shape_pt_lat,shape_pt_lon
010058,42.331689,-71.07616999999998
010058,42.331618,-71.07628100000002
010058,42.331618,-71.07628100000002
010058,42.331239,-71.076879
010058,42.331357,-71.077316
010058,42.331646,-71.078201
010058,42.331743,-71.078466
010058,42.331987,-71.079088
010058,42.332024,-71.07917900000002
010058,42.332024,-71.07917900000002
010058,42.332078,-71.079309
010058,42.332166,-71.079512
010058,42.332568,-71.08034599999998
010058,42.332898,-71.080958
010058,42.332965,-71.08107700000002
010058,42.332898,-71.081127
010058,42.332768,-71.08118499999998
010058,42.332539,-71.081273
010058,42.332274,-71.081414
010058,42.332005,-71.08165699999998
010058,42.332005,-71.08165699999998
010058,42.33194,-71.081717
010058,42.331752,-71.08193399999998
010058,42.331371,-71.08237199999998
010058,42.331055,-71.082716
010058,42.330985,-71.082796
010058,42.330985,-71.082796
010058,42.330817,-71.082987
010058,42.330665,-71.083201
010058,42.330586,-71.083344
010058,42.330455,-71.083721
010058,42.3303,-71.084053
010058,42.330174,-71.08421700000002
010058,42.330063,-71.084324
010058,42.329905,-71.084446
010058,42.329848,-71.083876
010070,42.329848,-71.083876
010070,42.329788,-71.083268
010070,42.330089,-71.083198
010070,42.330296,-71.083161
010070,42.330493,-71.083112
010070,42.330643,-71.083066
010070,42.330817,-71.082987
010070,42.330984,-71.082797
010070,42.330984,-71.082797
010070,42.331055,-71.082716
010070,42.331371,-71.08237199999998
010070,42.331752,-71.08193399999998
010070,42.33194,-71.081717
010070,42.332274,-71.081414
010070,42.332364,-71.081324
010070,42.332364,-71.081324
010070,42.332436,-71.081253
010070,42.332513,-71.081194
010070,42.332644,-71.08110699999997
010070,42.332822,-71.081002
010070,42.332626,-71.080671
010070,42.332457,-71.080373
010070,42.332311,-71.08008199999998
010070,42.332147,-71.079741
010070,42.33206,-71.079541
010070,42.33206,-71.079541
010070,42.33201,-71.079427
010070,42.331846,-71.079053
010070,42.331588,-71.07836400000002
010070,42.331313,-71.077489
010070,42.331182,-71.076993
010070,42.331239,-71.076879
010070,42.331624,-71.076273
010070,42.331624,-71.076273
010070,42.331689,-71.07616999999998
010070,42.331976,-71.075655
010070,42.332275,-71.07515500000002
010070,42.332517,-71.074775
010070,42.332833,-71.074359
010070,42.333206,-71.07391
010070,42.333495,-71.073514
010070,42.333601,-71.073388
010070,42.333783,-71.073605
010070,42.333783,-71.073605
010070,42.334924,-71.074967
010070,42.334924,-71.074967
010070,42.335008,-71.075068
010070,42.336168,-71.07651800000002
010070,42.336517,-71.076938
010070,42.33658,-71.077016
010070,42.33658,-71.077016
010070,42.337374,-71.078004
010070,42.33786,-71.078592
