,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
8923,71151,71151.0,Kenmore,Kenmore - Green Line - (B) Boston College,,Boston College,42.348949,-71.095169,,,https://www.mbta.com/stops/place-kencl,level_-2_platform,0,place-kencl,1,Boston,,,0.0
8924,899,899.0,Kenmore,Kenmore - Busway,,Busway,42.348927,-71.09583,,,https://www.mbta.com/stops/place-kencl,level_ground,0,place-kencl,0,Boston,Busway,Commonwealth Avenue,3.0
8925,door-kencl-beacon,,"Kenmore - Boston University, Beacon St","Kenmore - Boston University, Beacon St",,,42.349273,-71.095549,,,,level_in_street,2,place-kencl,2,Boston,,,
8926,door-kencl-busway,,"Kenmore - Busway, Commonwealth Ave","Kenmore - Busway, Commonwealth Ave",,,42.348882,-71.09541999999999,,,,level_ground,2,place-kencl,1,Boston,,,
8927,door-kencl-commonwealth,,"Kenmore - Fenway Park, Commonwealth Ave","Kenmore - Fenway Park, Commonwealth Ave",,,42.348616,-71.09552,,,,level_in_street,2,place-kencl,1,Boston,,,
8928,node-430-landing,,Kenmore,Kenmore - Bottom of busway escalator,,,,,,,,level_-0.5_landing,3,place-kencl,1,Boston,,,
8929,node-431-lobby,,Kenmore,Kenmore - Top of escalator from westbound platform,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8930,node-431-platform,,Kenmore,Kenmore - Bottom of escalator from westbound platform,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
8931,node-432-lobby,,Kenmore,Kenmore - Top of escalator from Park Street & North platform,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8932,node-432-platform,,Kenmore,Kenmore - Bottom of escalator from Park Street & North platform,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
8933,node-948-lobby,,Kenmore,Kenmore - Bottom of Commonwealth Avenue elevator,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8934,node-971-lobby,,Kenmore,Kenmore - Top of westbound platform elevator,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8935,node-971-platform,,Kenmore,Kenmore - Bottom of westbound platform elevator,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
8936,node-972-paidlobby,,Kenmore,Kenmore - Paid lobby level for Park Street & North elevator,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8937,node-972-platform,,Kenmore,Kenmore - Bottom of Park Street & North elevator,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
8938,node-972-unpaidlobby,,Kenmore,Kenmore - Unpaid lobby level for busway elevator,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8939,node-kencl-beacstair-lobby,,Kenmore,Kenmore - Bottom of Beacon Street stairs,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8940,node-kencl-busstair-landing,,Kenmore,Kenmore - Bottom of busway stairs,,,,,,,,level_-0.5_landing,3,place-kencl,1,Boston,,,
8941,node-kencl-commstair-lobby,,Kenmore,Kenmore - Bottom of Commonwealth Avenue stairs,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8942,node-kencl-ebstair-lobby,,Kenmore,Kenmore - Top of Park Street & North stairs,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8943,node-kencl-ebstair-platform,,Kenmore,Kenmore - Bottom of Park Street & North stairs,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
8944,node-kencl-farepaid,,Kenmore,Kenmore - Paid side of fare gates,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8945,node-kencl-fareunpaid,,Kenmore,Kenmore - Unpaid side of fare gates,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8946,node-kencl-fvmramp-landing,,Kenmore,Kenmore - Top of ramp between lobby and fare vending machines,,,,,,,,level_-0.5_landing,3,place-kencl,1,Boston,,,
8947,node-kencl-fvmramp-lobby,,Kenmore,Kenmore - Bottom of ramp between lobby and fare vending machines,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8948,node-kencl-fvmstair-landing,,Kenmore,Kenmore - Top of stairs between lobby and fare vending machines,,,,,,,,level_-0.5_landing,3,place-kencl,1,Boston,,,
8949,node-kencl-fvmstair-lobby,,Kenmore,Kenmore - Bottom of stairs a between lobby and fare vending machines,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8950,node-kencl-wbstair-lobby,,Kenmore,Kenmore - Top of westbound platform stairs,,,,,,,,level_-1_lobby,3,place-kencl,1,Boston,,,
8951,node-kencl-wbstair-platform,,Kenmore,Kenmore - Bottom of westbound platform stairs,,,,,,,,level_-2_platform,3,place-kencl,1,Boston,,,
8952,place-knncl,,Kendall/MIT,,,,42.362491,-71.086177,,"300 Main St, Cambridge, MA 02142",https://www.mbta.com/stops/place-knncl,,1,,1,Cambridge,,,
8953,70071,70071.0,Kendall/MIT,Kendall/MIT - Red Line - Ashmont/Braintree,,Ashmont/Braintree,42.362355,-71.085605,,,https://www.mbta.com/stops/place-knncl,level_-1_platform,0,place-knncl,1,Cambridge,,,1.0
8954,70072,70072.0,Kendall/MIT,Kendall/MIT - Red Line - Alewife,,Alewife,42.362434,-71.08559100000001,,,https://www.mbta.com/stops/place-knncl,level_-1_platform,0,place-knncl,1,Cambridge,,,1.0
8955,door-knncl-nbmain,,"Kendall/MIT - Main St, Buses, Cambridge Center","Kendall/MIT - Main St, Buses, Cambridge Center",,,42.362588,-71.086167,,,,level_in_street,2,place-knncl,1,Cambridge,,,
8956,door-knncl-nbsecond,,"Kendall/MIT - Main St, Third St","Kendall/MIT - Main St, Third St",,,42.362439,-71.084837,,,,level_in_street,2,place-knncl,2,Cambridge,,,
8957,door-knncl-sbmain,,"Kendall/MIT - Main St, Buses, Cambridge Center","Kendall/MIT - Main St, Buses, Cambridge Center",,,42.362259,-71.086206,,,,level_in_street,2,place-knncl,1,Cambridge,,,
8958,door-knncl-sbsecond,,"Kendall/MIT - Main St, Third St","Kendall/MIT - Main St, Third St",,,42.362232,-71.084862,,,,level_in_street,2,place-knncl,2,Cambridge,,,
8959,node-361-entrance,,Kendall/MIT,Kendall/MIT - Top of Escalator 361,,,,,,,,level_in_street,3,place-knncl,1,Cambridge,,,
